D,Time,Project,Task,Day,Hours
,,,,,
1,10-11,ETL,Test stand,TUE,1.0
1,11-12,ME0BE,Firmware,TUE,1.0
1,12-1,GE21,Firmware,TUE,1.0
1,1-2,GE11,Firmware,TUE,1.0
1,2-3,ADMIN,Meet with Eric,TUE,1.0
1,3-3:30,ETL,Meet with Indara,TUE,0.5
1,3:30-5,ETL,Test stand; Firmware update,TUE,1.5
,,,,,
2,7-7:30,GE21,Firmware,WED,0.5
2,7:30-8,GE11,Firmware,WED,0.5
2,8-8:30,ETL,MT specifications,WED,0.5
2,8:30-10,--,Break,WED,1.5
2,10-11,GE11,Firmware,WED,1.0
2,11-12,GE11,Firmware,WED,1.0
2,12-12:30,ME0,DPG Meeeting,WED,0.5
2,12:30-1,APOLLO,Tejasava,WED,0.5
2,1-2,GE21,Firmware,WED,1.0
2,2:30-5:30,ETL,Meeting with Sergey; Group Meeting,WED,3.0
,,,,,
3,7-8,GE21,Firmware (new sorter),THU,1.0
3,8-9,GE11,Firmware (new sorter),THU,1.0
3,9-10,ME0,Firmware (new sorter),THU,1.0
3,10-11,L0MDT,Meeting,THU,1.0
3,11-12:30,GE21,Meeting,THU,1.5
3,1-2,GE21,Firmware (new sorter),THU,1.0
3,3-4,ETL,Test stand,THU,1.0
3,4-5,ME0,Meeting,THU,1.0
,,,,,
4,9-10,VACATION,Katherine,FRI,1.0
4,10-11,ADMIN,Meet with Eric,FRI,1.0
4,11-12,ETL,Meet with Daniel,FRI,1.0
4,12-1,VACATION,Katherine,FRI,1.0
4,1-2,ME0SF,Chloe,FRI,1.0
4,3-4,ETL,Meet with Daniel,FRI,1.0
,,,,,
,,,,,
7,9-5,VACATION,Katherine,MON,8.0
,,,,,

