D,Time,Project,Task,Day,Hours
,,,,,
1,9-11,L0MDT,Meeting,THU,2.0
1,11-3,APOLLO,IPMC,THU,4.0
1,3-4,GE11,Firmware,THU,1.0
1,4-5,ME0,Meeting,THU,1.0
,,,,,
2,9-10,Tracker,Meeting,FRI,1.0
2,10-12,GE11,Firmware,FRI,2.0
2,12-2,APOLLO,IPMC,FRI,2.0
2,2-4,APOLLO,IPMC,FRI,2.0
,,,,,
5,9-5,HOLIDAY,July 4th,MON,8.0
,,,,,
6,9-5,VACATION,,TUE,8.0
,,,,,
7,9-5,VACATION,,WED,8.0
,,,,,
8,9-11,L0MDT,Meeting,THU,2.0
8,11-12,L0MDT,Chat with Eric,THU,1.0
8,12-1,--,Lunch,THU,1.0
8,1-2,IPMC,Firmware,THU,1.0
8,2-2:30,ETL,Email to Girts,THU,0.5
8,2:30-3,ADMIN,Billing,THU,0.5
8,3-4,ME0,Chloe,THU,1.0
8,4-5,ME0,UCLA Meeting,THU,1.0
,,,,,
9,9-10,Tracker,Meeting,FRI,1.0
9,10:30-12,EMPHATIC,Meet with Eric + Tejasava,FRI,1.5
9,12-2,--,EDF LUNCH,FRI,2.0
9,2:00-2:30,EMPHATIC,Meet with Eric + Tejasava,FRI,0.5
9,2:30-5:30,ETL,Emulator Board,FRI,3.0
,,,,,
,,,,,
12,9-12,APOLLO,I2C debugging,MON,3.0
12,12-1,--,LUNCH,MON,1.0
12,1-2,ETL,Meet with Indara,MON,1.0
12,2-3,L0MDT,Meeting,MON,1.0
12,3-4,EMPHATIC,Tejasava,MON,1.0
12,4-6,APOLLO,I2C debugging,MON,2.0
,,,,,
13,9-9:30,ADMIN,Billing,TUE,0.5
13,9:30-10,GE21,Firmware,TUE,0.5
13,10-11,ME0,Meeting,TUE,1.0
13,11-1:30,ETL,Meeting; Requirements doc,TUE,2.5
13,1-2,APOLLO,IPMC,TUE,1.0
13,2:30-3,ETL,Meeting,TUE,0.5
13,3-4,EMPHATIC,Tejasava,TUE,1.0
13,4-6:30,ME0,Chloe,TUE,2.5
,,,,,
14,9-9:30,GE11,Firmware updates,WED,0.5
14,9:30-10,GE21,Firmware updates,WED,0.5
14,10-11,ETL,Requirements doc,WED,1.0
14,11-12,APOLLO,IPMC,WED,1.0
14,12-1,Tracker,Meeting,WED,1.0
14,1-2,EMPHATIC,Tejasava,WED,1.0
14,2-5,APOLLO,IPMC,WED,2.0
,,,,,
