2021-06,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,31*,1,2,3,4,5,6,
CMS-ETL,2.00,4.00,1.00,0,0,0,0,Firmware; LINPOL Email Discussion; Meeting
CMS-EMU-UPGRADE-GE21,1.00,0,1.50,3.00,1.00,0,0,Firmware; Firmware Updates; Meeting; Firmware timing closure
CMS-PIXEL-DTC,3.00,0,3.50,1.00,5.00,0,0,Meetings + IPMC; Apollo Documentation; Firmware Updates; IPMC Updates; Meeting
CMS-EMU-OPS-GE11,1.00,0,0,1.00,0,0,0,Firmware; Firmware Updates
ATLAS-MUON-PHASE2,0,2.00,1.00,0,0,0,0,Meet with Eric; Apollo Documentation; Meeting
EMPHATIC,0,4.00,4.00,3.00,2.50,0,0,Firmware; Documentation; IPBus DAQ readout; Ethernet Firmware; DAQ Firmware; Work with Tejasava; Eval board setup + test
CMS-EMU-UPGRADE-ME0,0,0,1.50,0,0,0,0,Meet with Chloe
,7,8,9,10,11,12,13,
ATLAS-MUON-PHASE2,1.00,2.00,1.50,1.00,3.00,0,0,Firmware; Soc Workshop; Gitlab maintainence
EMPHATIC,0.50,3.00,2.50,0,1.00,0,0,Meet with Eric; Tejasava; Firmware updates; Firmware repo; Trenz support; Debugging; Board debug
CMS-ETL,2.00,0,2.00,2.50,0,0,0,Emails; Meet with Andy; LINPOL
CMS-PIXEL-DTC,4.00,3.00,1.50,1.00,3.50,0,0,IPMC/APOLLO; IPMC Updates; Soc Workshop; IPMC
CMS-EMU-UPGRADE-GE21,1.00,0,0,4.50,0,0,0,SEM Firmware; Radtest firmware
,14,15,16,17,18,19,20,
ATLAS-MUON-PHASE2,2.00,3.00,0,2.50,0,0,0,Meetings; Meeting; Aldec tutorial; HOG Tutorial
EMPHATIC,0,0,0,0.50,0,0,0,Chat with Eric
CMS-ETL,2.00,0,0,1.50,0,0,0,Slides; Meeting; Work with Daniel
CMS-PIXEL-DTC,3.00,4.00,7.00,3.50,0,0,0,IPMC/ESM; IPMC
CMS-EMU-UPGRADE-ME0,0,0,1.00,0,0,0,0,Chloe
SICK,0,2.00,0,0,0,0,0,Chiropractor
HOLIDAY,0,0,0,0,8.00,0,0,Juneteenth
,21,22,23,24,25,26,27,
ATLAS-MUON-PHASE2,2.00,0,0,2.00,0,0,0,Chat with Eric; Meeting; HOG
EMPHATIC,1.00,0,0,0,0,0,0,Chat with Eric
CMS-ETL,0,0,0,1.00,0,0,0,Firmware
CMS-PIXEL-DTC,5.00,4.00,7.00,4.00,4.00,0,0,Chat with Dan; IPMC Firmware; Meeting; IPMC; Lab setup; IPMC/ESM; Apollo ethernet
CMS-EMU-UPGRADE-ME0,0,2.00,0,1.00,0,0,0,Chloe; Meeting
CMS-EMU-UPGRADE-GE21,0,1.00,1.00,0,3.00,0,0,Firmware; Trigger Firmware Testing
CMS-EMU-OPS-GE11,0,1.00,1.00,2.00,2.50,0,0,Firmware; Trigger Firmware Testing
,28,29,30,1*,2*,3*,4*,
ATLAS-MUON-PHASE2,1.00,0,0,2.00,0,0,0,Meetings; Meeting
CMS-ETL,1.50,1.50,2.00,0,0,0,0,Email to Riga; Meetings; Meeting; Chat w/ Eric; Chat with Indara + Daniel
CMS-PIXEL-DTC,0,0,1.00,0,1.00,0,0,Meeting
CMS-EMU-UPGRADE-ME0,0,1.00,0,1.00,0,0,0,Meeting
CMS-EMU-OPS-GE11,2.00,2.00,2.00,1.00,2.00,0,0,Firmware
SICK,0,2.00,0,0,0,0,0,Chiropractor
APOLLO,3.00,1.50,1.00,4.00,4.00,0,0,IPMC Firmware; IPMC; Chat w/ Eric + Dan; Chat w/ Eric; IPMC issues
