2021-06,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,31*,1,2,3,4,5,6,
CMS-ETL,2.00,4.00,1.00,0,0,0,0,Firmware; LINPOL Email Discussion; Meeting
CMS-EMU-UPGRADE-GE21,1.00,0,1.50,3.00,1.00,0,0,Firmware; Meeting; Firmware timing closure; Firmware Updates
CMS-PIXEL-DTC,3.00,0,3.50,1.00,5.00,0,0,IPMC Updates; Apollo Documentation; Meeting; Firmware Updates; Meetings + IPMC
CMS-EMU-OPS-GE11,1.00,0,0,1.00,0,0,0,Firmware; Firmware Updates
ATLAS-MUON-PHASE2,0,2.00,1.00,0,0,0,0,Meet with Eric; Apollo Documentation; Meeting
EMPHATIC,0,4.00,4.00,3.00,2.50,0,0,Firmware; Ethernet Firmware; DAQ Firmware; Documentation; Eval board setup + test; IPBus DAQ readout; Work with Tejasava
CMS-EMU-UPGRADE-ME0,0,0,1.50,0,0,0,0,Meet with Chloe
,7,8,9,10,11,12,13,
ATLAS-MUON-PHASE2,1.00,2.00,1.50,1.00,3.00,0,0,Firmware; Soc Workshop; Gitlab maintainence
EMPHATIC,0.50,3.00,2.50,0,1.00,0,0,Firmware updates; Tejasava; Firmware repo; Debugging; Board debug; Trenz support; Meet with Eric
CMS-ETL,2.00,0,2.00,2.50,0,0,0,Meet with Andy; Emails; LINPOL
CMS-PIXEL-DTC,4.00,3.00,1.50,1.00,3.50,0,0,IPMC Updates; Soc Workshop; IPMC; IPMC/APOLLO
CMS-EMU-UPGRADE-GE21,1.00,0,0,4.50,0,0,0,SEM Firmware; Radtest firmware
,14,15,16,17,18,19,20,
ATLAS-MUON-PHASE2,2.00,3.00,0,2.50,0,0,0,HOG Tutorial; Aldec tutorial; Meetings; Meeting
EMPHATIC,0,0,0,0.50,0,0,0,Chat with Eric
CMS-ETL,2.00,0,0,1.50,0,0,0,Slides; Work with Daniel; Meeting
CMS-PIXEL-DTC,3.00,4.00,7.00,3.50,0,0,0,IPMC/ESM; IPMC
CMS-EMU-UPGRADE-ME0,0,0,1.00,0,0,0,0,Chloe
SICK,0,2.00,0,0,0,0,0,Chiropractor
HOLIDAY,0,0,0,0,8.00,0,0,Juneteenth
,21,22,23,24,25,26,27,
ATLAS-MUON-PHASE2,2.00,0,0,2.00,0,0,0,HOG; Chat with Eric; Meeting
EMPHATIC,1.00,0,0,0,0,0,0,Chat with Eric
CMS-ETL,0,0,0,1.00,0,0,0,Firmware
CMS-PIXEL-DTC,5.00,4.00,7.00,4.00,4.00,0,0,Apollo ethernet; Lab setup; Chat with Dan; Meeting; IPMC; IPMC/ESM; IPMC Firmware
CMS-EMU-UPGRADE-ME0,0,2.00,0,1.00,0,0,0,Meeting; Chloe
CMS-EMU-UPGRADE-GE21,0,1.00,1.00,0,3.00,0,0,Firmware; Trigger Firmware Testing
CMS-EMU-OPS-GE11,0,1.00,1.00,2.00,2.50,0,0,Firmware; Trigger Firmware Testing
,28,29,30,1*,2*,3*,4*,
ATLAS-MUON-PHASE2,1.00,0,0,2.00,0,0,0,Meetings; Meeting
CMS-ETL,1.50,1.50,2.00,0,0,0,0,Chat with Indara + Daniel; Meetings; Meeting; Email to Riga; Chat w/ Eric
CMS-PIXEL-DTC,0,0,1.00,0,1.00,0,0,Meeting
CMS-EMU-UPGRADE-ME0,0,1.00,0,1.00,0,0,0,Meeting
CMS-EMU-OPS-GE11,2.00,2.00,2.00,1.00,2.00,0,0,Firmware
SICK,0,2.00,0,0,0,0,0,Chiropractor
APOLLO,3.00,1.50,1.00,4.00,4.00,0,0,Chat w/ Eric + Dan; IPMC; IPMC issues; IPMC Firmware; Chat w/ Eric
