2021-08,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,26*,27*,28*,29*,30*,31*,1,
ATLAS-MUON-PHASE2,2.50,0,2.00,1.00,0,0,0,Meeting; Regmap software; TDC Review
APOLLO,1.50,3.00,0,1.00,4.00,0,0,Regmap software; SM PCB review
CMS-EMU-OPS-GE11,0.50,0,0.50,0,0,0,0,Repository maintenance; Repository updates
CMS-EMU-UPGRADE-ME0,0,2.00,0.50,1.00,1.50,0,0,Chloe; Meeting; Repository updates
CMS-PIXEL-DTC,0,0,1.00,0,1.00,0,0,Meeting
CMS-ETL,2.00,1.00,2.00,4.50,1.50,0,0,Meeting; Power adapter assembly; Power adapter assembly+test; Readout board; SW debugging; Work in lab
ADMIN,1.00,0,0,0,0,0,0,EDF Meeting
EMPHATIC,0,1.00,0,0,0,0,0,PCB Import Testing
CMS-EMU-UPGRADE-GE21,0.50,0,0.50,0,0,0,0,Repository maintenance; Repository updates
,2,3,4,5,6,7,8,
APOLLO,3.00,0,0,0,0,0,0,Regmap
ATLAS-MUON-PHASE2,2.00,0,2.50,6.00,0,0,0,Firmware updates; Meeting; Regmap update
CMS-ETL,2.50,7.00,4.00,2.00,0,0,0,Daniel; Link format; Managers; Meeting; Readout board schematic; SW debugging; Slides; Talk with Eric; firmware updates
CMS-EMU-UPGRADE-ME0,0,1.00,1.50,0,0,0,0,Chloe; Meeting
CMS-PIXEL-DTC,0,0,1.00,0,0,0,0,Meeting
EMPHATIC,0,0,0,0.50,0,0,0,Talk with Eric
,9,10,11,12,13,14,15,
,16,17,18,19,20,21,22,
,23,24,25,26,27,28,29,
,30,31,1*,2*,3*,4*,5*,
